Produkt;Kalorie [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Bazylia, świeża;23;3.2;0.6;2.7
Chili w proszku;314;12.3;16.8;54.7
Curry;325;12.7;13.8;58.2
Cynamon, mielony;251;3.9;2.2;80.8
Estragon suszony;295;22.8;7.2;50.2
Gałka muszkatołowa, cała;489;7.1;36.3;43.9
Gorczyca, nasiona;469;24.9;28.8;34.9
Goździki, suszone;363;5.8;17.2;63.6
Guma arabska;348;1.4;0;84.1
Imbir, świeży;61;2.5;0.8;11
Imbir, mielony;333;7.1;4.7;71.9
Kapary;415;6;20.2;52
Kardamon;311;10.8;6.7;68.5
Kminek, nasiona;328;12.6;13.7;57.5
Kolendra, nasiona;298;12.4;17.8;55
Kozieradka, nasiona;323;23;6.4;58.4
Kurkuma;354;7.8;9.9;64.9
Majeranek, suszony;263;14.3;5.6;58.9
Ocet balsamiczny;88;0.5;0;17
Oregano suszone;306;11;10.3;64.4
Papryka, suszona (przyprawa);324;14.8;13;55.7
Pieprz czarny;335;11.8;8.6;62.7
Sos sojowy;55;7.5;0.1;6.5
Sól biała;0;0;0;0
Syrop glukozowy;348;0;0;85.8
Syrop inulina;327;0;0;80.5
Syrop klonowy;274;0;0;67.9
Tymianek suszony;285;9.1;7.4;64
Ziele angielskie;341;5.6;7;74.8
